

   Time         sum(rTop)     sum(rRoot)    sum(vTop)     sum(vRoot)     sum(vBot)    hTop       hRoot      hBot      A-level
    [T]           [L]           [L]           [L]           [L]            [L]        [L]         [L]       [L] 

   162.00000 -0.310556E+02  0.300486E+02 -0.310904E+02  0.267201E+02 -0.438795E+01   -910.866   -674.622   -484.034     162
   163.00000 -0.319256E+02  0.304397E+02 -0.319604E+02  0.271111E+02 -0.439709E+01   -257.568   -499.523   -476.326     163
   164.00000 -0.319026E+02  0.309478E+02 -0.319379E+02  0.276193E+02 -0.440697E+01   -615.739   -613.488   -469.149     164
   165.00000 -0.319026E+02  0.314571E+02 -0.319379E+02  0.281285E+02 -0.441746E+01  -1017.181   -837.004   -463.620     165
   166.00000 -0.319026E+02  0.319647E+02 -0.319374E+02  0.286290E+02 -0.442836E+01  -1943.619  -1268.501   -459.922     166
   167.00000 -0.319426E+02  0.324590E+02 -0.319773E+02  0.290743E+02 -0.443948E+01  -2006.339  -1986.713   -457.543     167
   168.00000 -0.319426E+02  0.329747E+02 -0.319758E+02  0.294145E+02 -0.445075E+01  -5403.950  -3348.033   -456.582     168
   169.00000 -0.319926E+02  0.334058E+02 -0.320260E+02  0.296259E+02 -0.446205E+01  -2357.267  -3817.098   -456.657     169
   170.00000 -0.319926E+02  0.338933E+02 -0.320246E+02  0.298091E+02 -0.447328E+01  -6151.505  -4471.858   -457.699     170
   171.00000 -0.319926E+02  0.344129E+02 -0.320229E+02  0.299405E+02 -0.448434E+01  -7927.830  -4944.995   -459.587     171
   172.00000 -0.319926E+02  0.349333E+02 -0.320229E+02  0.300562E+02 -0.449519E+01  -8023.545  -5147.790   -462.005     172
   173.00000 -0.319926E+02  0.354019E+02 -0.320229E+02  0.301366E+02 -0.450570E+01  -8020.237  -5373.535   -465.042     173
   174.00000 -0.323026E+02  0.356602E+02 -0.323330E+02  0.302291E+02 -0.451606E+01   -671.263  -4065.722   -468.219     174
   175.00000 -0.323026E+02  0.361674E+02 -0.323334E+02  0.304665E+02 -0.452609E+01  -2310.292  -4326.875   -471.832     175
   176.00000 -0.323026E+02  0.367036E+02 -0.323314E+02  0.306326E+02 -0.453572E+01  -5439.328  -5186.527   -475.800     176
   177.00000 -0.323226E+02  0.369271E+02 -0.323515E+02  0.306889E+02 -0.454502E+01  -3354.844  -5160.904   -480.048     177
   178.00000 -0.329426E+02  0.371235E+02 -0.329716E+02  0.307763E+02 -0.455392E+01   -396.955  -3440.011   -484.713     178
   179.00000 -0.334126E+02  0.375167E+02 -0.334416E+02  0.310494E+02 -0.456241E+01   -389.726  -2637.359   -490.919     179
